Timestamp,Channel,CPU,Event type,Contents,TID,Prio,PID,Source
09:41:51.277 852 314,kernel_1,1,sched_switch,"prev_comm=swapper/1, prev_tid=0, prev_prio=20, prev_state=0, next_comm=gdbus, next_tid=7738, next_prio=20, context.packet_seq_num=0, context.cpu_id=1",0,20,,
09:41:51.277 853 222,kernel_1,1,syscall_exit_futex,"ret=0, uaddr=36438136, uaddr2=21, context.packet_seq_num=0, context.cpu_id=1",7738,20,7736,[kernel/futex.c:0]
09:41:51.277 853 758,kernel_1,1,syscall_entry_futex,"uaddr=36438136, op=128, val=2, utime=0, uaddr2=36455088, val3=36455088, context.packet_seq_num=0, context.cpu_id=1",7738,20,7736,[kernel/futex.c:0]
09:41:51.277 854 174,kernel_1,1,rcu_utilization,"s=Start context switch, context.packet_seq_num=0, context.cpu_id=1",7738,20,7736,
09:41:51.277 854 302,kernel_1,1,rcu_utilization,"s=End context switch, context.packet_seq_num=0, context.cpu_id=1",7738,20,7736,
09:41:51.277 854 471,kernel_1,1,sched_stat_runtime,"comm=gdbus, tid=7738, runtime=34358, vruntime=101352132472303, context.packet_seq_num=0, context.cpu_id=1",7738,20,7736,
09:41:51.277 854 798,kernel_1,1,sched_switch,"prev_comm=gdbus, prev_tid=7738, prev_prio=20, prev_state=1, next_comm=swapper/1, next_tid=0, next_prio=20, context.packet_seq_num=0, context.cpu_id=1",7738,20,7736,
09:41:51.277 855 569,kernel_1,1,power_cpu_idle,"state=3, cpu_id=1, context.packet_seq_num=0, context.cpu_id=1",0,20,,
09:41:51.277 860 531,kernel_2,2,syscall_entry_futex,"uaddr=36438136, op=129, val=1, utime=0, uaddr2=0, val3=36342528, context.packet_seq_num=0, context.cpu_id=2",7736,20,7736,[kernel/futex.c:0]
09:41:51.277 860 925,kernel_2,2,sched_waking,"comm=gdbus, tid=7738, prio=20, target_cpu=1, context.packet_seq_num=0, context.cpu_id=2",7736,20,7736,
09:41:51.277 861 377,kernel_2,2,sched_wakeup,"comm=gdbus, tid=7738, prio=20, target_cpu=1, context.packet_seq_num=0, context.cpu_id=2",7736,20,7736,
09:41:51.277 861 579,kernel_2,2,syscall_exit_futex,"ret=1, uaddr=36438136, uaddr2=0, context.packet_seq_num=0, context.cpu_id=2",7736,20,7736,[kernel/futex.c:0]
09:41:51.277 862 501,kernel_2,2,syscall_entry_eventfd2,"count=0, flags=526336, context.packet_seq_num=0, context.cpu_id=2",7736,20,7736,[fs/eventfd.c:0]
09:41:51.277 863 066,kernel_2,2,kmem_kmalloc,"call_site=0xffffffff812205a8, ptr=0xffff88075dfc9740, bytes_req=48, bytes_alloc=64, gfp_flags=37748928, context.packet_seq_num=0, context.cpu_id=2",7736,20,7736,
09:41:51.277 863 577,kernel_2,2,kmem_cache_alloc,"call_site=0xffffffff811ef670, ptr=0xffff880754278cd8, bytes_req=192, bytes_alloc=192, gfp_flags=37748928, context.packet_seq_num=0, context.cpu_id=2",7736,20,7736,
09:41:51.277 864 295,kernel_2,2,kmem_cache_alloc,"call_site=0xffffffff811d8dd7, ptr=0xffff88047ca58000, bytes_req=256, bytes_alloc=256, gfp_flags=37781696, context.packet_seq_num=0, context.cpu_id=2",7736,20,7736,
09:41:51.277 864 677,kernel_2,2,syscall_exit_eventfd2,"ret=9, context.packet_seq_num=0, context.cpu_id=2",7736,20,7736,[fs/eventfd.c:0]
09:41:51.277 865 008,kernel_2,2,syscall_entry_write,"fd=9, buf=140728530061792, count=8, context.packet_seq_num=0, context.cpu_id=2",7736,20,7736,[fs/read_write.c:0]
09:41:51.277 865 369,kernel_2,2,syscall_exit_write,"ret=8, context.packet_seq_num=0, context.cpu_id=2",7736,20,7736,[fs/read_write.c:0]
09:41:51.277 894 408,kernel_1,1,power_cpu_idle,"state=4294967295, cpu_id=1, context.packet_seq_num=0, context.cpu_id=1",0,20,,
09:41:51.277 894 828,kernel_1,1,rcu_utilization,"s=Start context switch, context.packet_seq_num=0, context.cpu_id=1",0,20,,
09:41:51.277 894 940,kernel_1,1,rcu_utilization,"s=End context switch, context.packet_seq_num=0, context.cpu_id=1",0,20,,
09:41:51.277 895 215,kernel_1,1,sched_switch,"prev_comm=swapper/1, prev_tid=0, prev_prio=20, prev_state=0, next_comm=gdbus, next_tid=7738, next_prio=20, context.packet_seq_num=0, context.cpu_id=1",0,20,,
09:41:51.277 896 018,kernel_1,1,syscall_exit_futex,"ret=0, uaddr=36438136, uaddr2=36455088, context.packet_seq_num=0, context.cpu_id=1",7738,20,7736,[kernel/futex.c:0]
09:41:51.277 896 432,kernel_1,1,syscall_entry_futex,"uaddr=36438136, op=128, val=2, utime=0, uaddr2=36455088, val3=36455088, context.packet_seq_num=0, context.cpu_id=1",7738,20,7736,[kernel/futex.c:0]
09:41:51.277 896 820,kernel_1,1,rcu_utilization,"s=Start context switch, context.packet_seq_num=0, context.cpu_id=1",7738,20,7736,
09:41:51.277 896 914,kernel_1,1,rcu_utilization,"s=End context switch, context.packet_seq_num=0, context.cpu_id=1",7738,20,7736,
09:41:51.277 897 087,kernel_1,1,sched_stat_runtime,"comm=gdbus, tid=7738, runtime=35824, vruntime=101352132508127, context.packet_seq_num=0, context.cpu_id=1",7738,20,7736,
09:41:51.277 897 411,kernel_1,1,sched_switch,"prev_comm=gdbus, prev_tid=7738, prev_prio=20, prev_state=1, next_comm=swapper/1, next_tid=0, next_prio=20, context.packet_seq_num=0, context.cpu_id=1",7738,20,7736,
09:41:51.277 898 150,kernel_1,1,power_cpu_idle,"state=3, cpu_id=1, context.packet_seq_num=0, context.cpu_id=1",0,20,,
09:41:51.277 904 314,kernel_2,2,syscall_entry_futex,"uaddr=36438136, op=129, val=1, utime=0, uaddr2=0, val3=0, context.packet_seq_num=0, context.cpu_id=2",7736,20,7736,[kernel/futex.c:0]
09:41:51.277 904 692,kernel_2,2,sched_waking,"comm=gdbus, tid=7738, prio=20, target_cpu=1, context.packet_seq_num=0, context.cpu_id=2",7736,20,7736,
09:41:51.277 905 143,kernel_2,2,sched_wakeup,"comm=gdbus, tid=7738, prio=20, target_cpu=1, context.packet_seq_num=0, context.cpu_id=2",7736,20,7736,
09:41:51.277 905 357,kernel_2,2,syscall_exit_futex,"ret=1, uaddr=36438136, uaddr2=0, context.packet_seq_num=0, context.cpu_id=2",7736,20,7736,[kernel/futex.c:0]
09:41:51.277 906 323,kernel_2,2,syscall_entry_poll,"ufds=36502880, nfds=1, timeout_msecs=25000, context.packet_seq_num=0, context.cpu_id=2",7736,20,7736,[fs/select.c:0]
09:41:51.277 907 049,kernel_2,2,syscall_exit_poll,"ret=1, ufds=36502880, context.packet_seq_num=0, context.cpu_id=2",7736,20,7736,[fs/select.c:0]
